# k_step gamma S_color
30 1.550000e-02 2.370000e-02
26 1.720000e-02 2.300000e-03
23 1.870000e-02 4.270000e-02
20 2.080000e-02 5.700000e-03
18 2.590000e-02 9.900000e-03
17 2.830000e-02 6.200000e-03
16 2.620000e-02 1.170000e-02
15 3.010000e-02 2.300000e-03
1000 2.000000e-04 1.948000e-01
100 3.900000e-03 1.475000e-01
65 6.600000e-03 7.370000e-02
50 8.300000e-03 8.600000e-02
40 1.190000e-02 3.010000e-02
30 1.550000e-02 9.200000e-03
26 1.700000e-02 5.290000e-02
23 1.860000e-02 3.160000e-02
20 2.160000e-02 2.440000e-02
18 2.510000e-02 6.400000e-03
17 2.500000e-02 1.470000e-02
16 2.810000e-02 3.200000e-03
15 2.870000e-02 7.700000e-03
1000 2.000000e-04 1.977000e-01
100 3.400000e-03 1.223000e-01
65 7.300000e-03 1.423000e-01
50 7.200000e-03 2.400000e-02
40 1.000000e-02 1.406000e-01
30 1.430000e-02 4.280000e-02
26 1.660000e-02 3.500000e-03
23 1.760000e-02 5.090000e-02
20 2.320000e-02 3.700000e-03
18 2.500000e-02 5.200000e-03
17 2.670000e-02 7.200000e-03
16 2.770000e-02 6.600000e-03
15 3.040000e-02 6.900000e-03
1000 4.000000e-04 1.174000e-01
100 3.200000e-03 1.110000e-01
65 6.700000e-03 7.190000e-02
50 8.800000e-03 5.400000e-03
40 1.150000e-02 8.170000e-02
30 1.460000e-02 3.400000e-03
26 1.410000e-02 7.430000e-02
23 1.770000e-02 2.300000e-03
20 2.460000e-02 3.700000e-03
18 2.600000e-02 6.300000e-03
17 2.700000e-02 5.700000e-03
16 2.910000e-02 1.900000e-03
15 2.800000e-02 6.100000e-03
1000 5.000000e-04 1.706000e-01
100 3.100000e-03 1.475000e-01
65 5.800000e-03 1.401000e-01
50 8.400000e-03 1.490000e-02
40 9.300000e-03 5.200000e-03
30 1.320000e-02 4.810000e-02
26 1.800000e-02 4.300000e-03
23 1.950000e-02 5.390000e-02
20 2.150000e-02 5.910000e-02
18 2.700000e-02 1.070000e-02
17 2.610000e-02 4.200000e-03
16 2.840000e-02 3.900000e-03
15 3.020000e-02 2.800000e-03
1000 2.000000e-04 2.098000e-01
100 3.800000e-03 1.463000e-01
65 6.800000e-03 1.052000e-01
50 8.300000e-03 6.590000e-02
40 1.180000e-02 9.900000e-03
30 1.190000e-02 1.115000e-01
26 1.650000e-02 2.500000e-03
23 1.960000e-02 6.200000e-03
20 2.230000e-02 6.800000e-03
