# k_step gamma S_color
15 1.659402e-02 -2.552506e-16
1000 6.765023e-05 1.205130e-01
100 1.357724e-03 1.082245e-01
65 2.385318e-03 9.576536e-02
50 3.364946e-03 9.422486e-02
40 4.512072e-03 8.736163e-02
30 6.594110e-03 6.591762e-02
26 7.968958e-03 5.032606e-02
23 9.376545e-03 3.676674e-02
20 1.129275e-02 1.083258e-02
18 1.299754e-02 -4.173102e-14
17 1.403005e-02 1.583740e-15
16 1.521706e-02 -5.560141e-16
15 1.659402e-02 -2.372450e-16
1000 6.765023e-05 1.122156e-01
100 1.357724e-03 1.012771e-01
65 2.385318e-03 9.973952e-02
50 3.364946e-03 9.647545e-02
40 4.512072e-03 7.807625e-02
30 6.594110e-03 6.489093e-02
26 7.968958e-03 5.094241e-02
23 9.376545e-03 3.798449e-02
20 1.129275e-02 1.116418e-02
18 1.299754e-02 -4.074580e-14
17 1.403005e-02 1.532807e-15
16 1.521706e-02 -5.472889e-16
# k_step gamma S_color
1000 6.765023e-05 1.250798e-01
100 1.357724e-03 1.003258e-01
65 2.385318e-03 1.013974e-01
50 3.364946e-03 9.073802e-02
40 4.512072e-03 8.309152e-02
30 6.594110e-03 6.478496e-02
26 7.968958e-03 5.226589e-02
23 9.376545e-03 3.795373e-02
20 1.129275e-02 1.153344e-02
18 1.299754e-02 -4.112982e-14
17 1.403005e-02 1.625840e-15
16 1.521706e-02 -5.594943e-16
15 1.659402e-02 -2.378878e-16
1000 6.765023e-05 1.123305e-01
100 1.357724e-03 1.035918e-01
65 2.385318e-03 9.396578e-02
50 3.364946e-03 8.836078e-02
40 4.512072e-03 8.330943e-02
30 6.594110e-03 6.691355e-02
26 7.968958e-03 5.542712e-02
23 9.376545e-03 3.912026e-02
20 1.129275e-02 1.199580e-02
18 1.299754e-02 -3.972249e-14
17 1.403005e-02 1.572678e-15
16 1.521706e-02 -5.586663e-16
15 1.659402e-02 -2.554945e-16
1000 6.765023e-05 1.285424e-01
100 1.357724e-03 1.084599e-01
65 2.385318e-03 1.000676e-01
50 3.364946e-03 8.535700e-02
40 4.512072e-03 7.964381e-02
30 6.594110e-03 6.520155e-02
26 7.968958e-03 5.525627e-02
23 9.376545e-03 3.995015e-02
20 1.129275e-02 1.065943e-02
18 1.299754e-02 -4.250271e-14
17 1.403005e-02 1.522821e-15
16 1.521706e-02 -5.660230e-16
15 1.659402e-02 -2.511418e-16
1000 6.765023e-05 1.205006e-01
100 1.357724e-03 1.099904e-01
65 2.385318e-03 9.540255e-02
50 3.364946e-03 9.339050e-02
40 4.512072e-03 7.891122e-02
30 6.594110e-03 6.883517e-02
26 7.968958e-03 5.148542e-02
23 9.376545e-03 3.643413e-02
20 1.129275e-02 1.119265e-02
18 1.299754e-02 -4.261540e-14
17 1.403005e-02 1.582548e-15
16 1.521706e-02 -5.712001e-16
15 1.659402e-02 -2.424571e-16
1000 6.765023e-05 1.200149e-01
100 1.357724e-03 1.066569e-01
65 2.385318e-03 9.914077e-02
50 3.364946e-03 8.979470e-02
40 4.512072e-03 8.884416e-02
30 6.594110e-03 6.442808e-02
26 7.968958e-03 5.297226e-02
23 9.376545e-03 3.897508e-02
20 1.129275e-02 1.121507e-02
18 1.299754e-02 -4.174867e-14
17 1.403005e-02 1.515386e-15
16 1.521706e-02 -5.634973e-16
