# k_av S_color
1.550000e+00 2.170124e-01
1.600000e+00 2.774038e-01
1.650000e+00 3.076726e-01
1.700000e+00 3.242023e-01
1.750000e+00 3.480381e-01
1.800000e+00 3.733718e-01
1.850000e+00 4.109933e-01
1.900000e+00 4.210032e-01
1.950000e+00 4.381648e-01
2.000000e+00 4.707509e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.803892e-04
1.100000e+00 5.057896e-03
1.150000e+00 2.361955e-02
1.200000e+00 4.424686e-02
1.250000e+00 5.418894e-02
1.300000e+00 8.803731e-02
1.350000e+00 1.185248e-01
1.400000e+00 1.480412e-01
1.450000e+00 1.895170e-01
1.500000e+00 2.300809e-01
1.550000e+00 2.310317e-01
1.600000e+00 2.736637e-01
1.650000e+00 2.975365e-01
1.700000e+00 3.453497e-01
1.750000e+00 3.682325e-01
1.800000e+00 3.956187e-01
1.850000e+00 3.741902e-01
1.900000e+00 4.470580e-01
1.950000e+00 4.477752e-01
2.000000e+00 4.805582e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.506993e-04
1.100000e+00 4.937992e-03
1.150000e+00 1.622914e-02
1.200000e+00 4.055223e-02
1.250000e+00 6.716751e-02
1.300000e+00 9.132923e-02
1.350000e+00 1.063538e-01
1.400000e+00 1.414504e-01
1.450000e+00 1.686322e-01
1.500000e+00 1.806847e-01
1.550000e+00 2.201151e-01
1.600000e+00 2.671347e-01
1.650000e+00 2.997393e-01
1.700000e+00 3.315648e-01
1.750000e+00 3.592046e-01
1.800000e+00 3.655287e-01
1.850000e+00 3.921551e-01
1.900000e+00 4.111196e-01
1.950000e+00 4.509585e-01
2.000000e+00 4.716937e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.985239e-04
1.100000e+00 5.662677e-03
1.150000e+00 2.363454e-02
1.200000e+00 3.246049e-02
1.250000e+00 8.180518e-02
1.300000e+00 8.972081e-02
1.350000e+00 1.152206e-01
1.400000e+00 1.549279e-01
1.450000e+00 1.793852e-01
1.500000e+00 2.007437e-01
1.550000e+00 2.326223e-01
1.600000e+00 2.764691e-01
1.650000e+00 3.134353e-01
1.700000e+00 3.112007e-01
1.750000e+00 3.459678e-01
1.800000e+00 3.628434e-01
1.850000e+00 4.076144e-01
1.900000e+00 4.207651e-01
1.950000e+00 4.334232e-01
2.000000e+00 4.673926e-01
1.000000e+00 0.000000e+00
1.050000e+00 1.669312e-04
1.100000e+00 8.340066e-03
1.150000e+00 2.573578e-02
1.200000e+00 5.060208e-02
1.250000e+00 6.479505e-02
1.300000e+00 1.001417e-01
1.350000e+00 1.102615e-01
1.400000e+00 1.389880e-01
1.450000e+00 1.765890e-01
1.500000e+00 1.913410e-01
1.550000e+00 2.427114e-01
1.600000e+00 2.511382e-01
1.650000e+00 3.015960e-01
1.700000e+00 3.369035e-01
1.750000e+00 3.496656e-01
1.800000e+00 3.682984e-01
1.850000e+00 3.807638e-01
1.900000e+00 4.115821e-01
1.950000e+00 4.419152e-01
2.000000e+00 4.728548e-01
1.000000e+00 0.000000e+00
1.050000e+00 4.839625e-05
1.100000e+00 7.895378e-03
1.150000e+00 1.900632e-02
1.200000e+00 4.003632e-02
1.250000e+00 5.244866e-02
1.300000e+00 9.355049e-02
1.350000e+00 1.252507e-01
1.400000e+00 1.604326e-01
1.450000e+00 1.901349e-01
1.500000e+00 2.122008e-01
1.550000e+00 2.275526e-01
1.600000e+00 2.514738e-01
1.650000e+00 2.910572e-01
1.700000e+00 3.054518e-01
1.750000e+00 3.478996e-01
1.800000e+00 3.616202e-01
1.850000e+00 3.788884e-01
1.900000e+00 4.397649e-01
1.950000e+00 4.352787e-01
2.000000e+00 4.781398e-01
1.000000e+00 0.000000e+00
1.050000e+00 2.488836e-05
1.100000e+00 5.008899e-03
1.150000e+00 2.504459e-02
1.200000e+00 3.844134e-02
1.250000e+00 5.079305e-02
1.300000e+00 8.384749e-02
1.350000e+00 1.318160e-01
1.400000e+00 1.429800e-01
1.450000e+00 1.890353e-01
1.500000e+00 2.124907e-01
1.550000e+00 2.213603e-01
1.600000e+00 2.864621e-01
